region,activity,sex,count
Закарпатська,Добувна промисловість і розроблення кар'єрів,Жінки,5
Закарпатська,Переробна промисловість,Чоловіки,631
Закарпатська,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Чоловіки,940
Закарпатська,Діяльність домашніх господарств,Чоловіки,1
Закарпатська,Надання інших видів послуг,Чоловіки,4197
Закарпатська,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,97
Закарпатська,Охорона здоров'я та надання соціальної допомоги,Чоловіки,896
Закарпатська,Освіта,Чоловіки,253
Закарпатська,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,504
Закарпатська,Інформація та телекомунікації,Жінки,61
Закарпатська,Державне управління й оборона; обов'язкове соціальне страхування,Жінки,652
Закарпатська,Операції з нерухомим майном,Чоловіки,454
Закарпатська,Інформація та телекомунікації,Чоловіки,164
Закарпатська,Освіта,Жінки,1121
Закарпатська,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,776
Закарпатська,Фінансова та страхова діяльність,Жінки,11
Закарпатська,"Мистецтво, спорт, розваги та відпочинок",Жінки,203
Закарпатська,"Професійна, наукова та технічна діяльність",Чоловіки,214
Закарпатська,Тимчасове розміщування й організація харчування,Чоловіки,113
Закарпатська,"Професійна, наукова та технічна діяльність",Жінки,124
Закарпатська,Операції з нерухомим майном,Жінки,292
Закарпатська,Охорона здоров'я та надання соціальної допомоги,Жінки,529
Закарпатська,Діяльність у сфері адміністративного та допоміжного обслуговування,Жінки,611
Закарпатська,Тимчасове розміщування й організація харчування,Жінки,94
Закарпатська,Фінансова та страхова діяльність,Чоловіки,15
Закарпатська,Надання інших видів послуг,Жінки,1260
Запорізька,Переробна промисловість,Жінки,246
Запорізька,Тимчасове розміщування й організація харчування,Жінки,91
Запорізька,Добувна промисловість і розроблення кар'єрів,Жінки,3
Запорізька,Охорона здоров'я та надання соціальної допомоги,Жінки,630
Запорізька,Надання інших видів послуг,Чоловіки,3675
Запорізька,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,85
Запорізька,Державне управління й оборона; обов'язкове соціальне страхування,Чоловіки,601
Запорізька,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,2395
Запорізька,"Водопостачання; каналізація, поводження з відходами",Жінки,16
Запорізька,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Жінки,104
Запорізька,Фінансова та страхова діяльність,Чоловіки,40
Запорізька,Інформація та телекомунікації,Чоловіки,211
